TIPO_OPERACION;SUBTIPO_OPERACION;J_ACCIDENTES_PERSONALES;J_DAVIDA;J_DESEMPLEO_FIJO;J_DESEMPLEO_HIPOTECARIO;J_DESEMPLEO_LIBRANZA;J_DESEMPLEO_TDC;J_DESEMPLEO_VEHICULO;J_HOGAR;J_INCENDIO_TERREMOTO_REINV;J_PROTECCION_TARJETAS;J_RENTA_DIARIA;J_SOAT;J_TRANQUILIDAD_MUJER;J_VEHICULO;J_VIDA_DEUDORES_REINV
TELEMERCADEO;TRANQUILIDAD_MUJER;9999;9999;9999;9999;9999;9999;9999;9999;9999;4;9999;9999;1;9999;9999
TELEMERCADEO;CAMPAÑA_BIENVENIDA;9999;9999;9999;9999;9999;9999;9999;9999;9999;2;9999;9999;2;9999;9999
TELEMERCADEO;PROTECCION_TARJETAS;9999;9999;9999;9999;9999;9999;9999;9999;9999;1;9999;9999;3;9999;9999
ACTIVACION TDC;TDC;9999;1;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
OTRA;BOGOTA;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
OTRA;BOGOTA Y CUNDINAMARCA;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
OTRA;VALLE Y CAUCA;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52
OTRA;EJE CAFETERO;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53
OTRA;CARIBE;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54
OTRA;ANTIOQUIA;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55
OTRA;SANTANDERES Y ARAUCA;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56
OTRA;CENTRO SUR;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57
OTRA;OTRA;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58
TELEMERCADEO;DESEMPLEO_TDC;9999;9999;9999;9999;9999;1;9999;9999;9999;3;9999;9999;9999;9999;9999
TELEMERCADEO;ACCIDENTES_PERSONALES;1;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
DESEMBOLSOS CREDITOS;FIJO;9999;10;1;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;3
APROBACIONES CREDITOS;FIJO;9999;14;2;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;3
PREAPROBADOS;CONSUMO;9999;18;3;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;3
TELEMERCADEO;DESEMPLEO_FIJO;9999;9999;4;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
APERTURAS PASIVO;CTA AHORROS;9999;2;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
APERTURAS PASIVO;CTA_CTE;9999;3;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
APERTURAS PASIVO;NÓMINA;9999;4;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
APERTURAS PASIVO;CDT;9999;5;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
APERTURAS PASIVO;FONDO;9999;6;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
TRANSACCIONES CAJA;TRANSACCIONES CAJA;9999;7;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
DESEMBOLSOS CREDITOS;HIPOTECARIO;9999;8;9999;1;9999;9999;9999;1;1;9999;9999;9999;9999;9999;1
DESEMBOLSOS CREDITOS;VEHÍCULO;9999;9;9999;9999;9999;9999;1;9999;9999;9999;9999;9999;9999;1;2
DESEMBOLSOS CREDITOS;LIBRANZA;9999;11;9999;9999;1;9999;9999;9999;9999;9999;9999;9999;9999;9999;4
APROBACIONES CREDITOS;HIPOTECARIO;9999;12;9999;2;9999;9999;9999;2;2;9999;9999;9999;9999;9999;1
APROBACIONES CREDITOS;VEHÍCULO;9999;13;9999;9999;9999;9999;2;9999;9999;9999;9999;9999;9999;2;2
APROBACIONES CREDITOS;LIBRANZA;9999;15;9999;9999;2;9999;9999;9999;9999;9999;9999;9999;9999;9999;4
PREAPROBADOS;HIPOTECARIO;9999;16;9999;3;9999;9999;9999;3;3;9999;9999;9999;9999;9999;1
PREAPROBADOS;VEHÍCULO;9999;17;9999;9999;9999;9999;3;9999;9999;9999;9999;9999;9999;3;2
PREAPROBADOS;LIBRANZA;9999;19;9999;9999;3;9999;9999;9999;9999;9999;9999;9999;9999;9999;4
SOLICITUDES;SOLICITUDES;9999;20;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
TELEMERCADEO;AUTOS;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;4;9999
TELEMERCADEO;DESEMPLEO HIPOTECARIO;9999;9999;9999;4;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
TELEMERCADEO;DESEMPLEO LIBRANZA;9999;9999;9999;9999;4;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999
TELEMERCADEO;DESEMPLEO VEHÍCULO;9999;9999;9999;9999;9999;9999;4;9999;9999;9999;9999;9999;9999;9999;9999
TELEMERCADEO;RENTA_DIARIA;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;1;9999;9999;9999;9999
TELEMERCADEO;SOAT;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;1;9999;9999;9999
TELEMERCADEO;HOGAR;9999;9999;9999;9999;9999;9999;9999;4;9999;9999;9999;9999;9999;9999;9999
